year,event_detail
2017,"Five American League teams retired numbers for players during the 2017 regular season, they are (in chronological order): Derek Jeter had his #2 retired by the New York Yankees on May 14th. David Ortiz had his #34 retired by the Boston Red Sox on June 23rd. Mark Buehrle had his #56 retired by the Chicago White Sox on June 24th. Edgar Martinez had his #11 retired by the Seattle Mariners on August 12th. And, Ivan Rodriguez had his #7 retired by the Texas Rangers on August 12th."
2017,"Joe DiMaggio's 1936 record for most home runs in a season by a rookie Bronx Bomber, fell in 2017, to Rookie of the Year recipient Aaron Judge. Joltin Joe's mark of 29 fell before the All-Star break making Judge only the second rookie in baseball history to reach 30 before the Midsummer Classic. After the contest, Aaron continued his assault on the record books and finished the season with 50 dingers, a new Major League record."
2017,"The 2017 Atlanta Braves played their first season at SunTrust Park in Cumberland, Georgia. It succeeds Turner Field as the Braves home ballpark. The first game at SunTrust Park was on April 14, 2017, against the San Diego Padres."
2017,"Edinson Volquez threw his first career no-hitter, defeating the Arizona Diamondbacks 3–0 on June 3. Volquez walked two and struck out ten while facing the minimum on 98 pitches - 65 of them were strikes! It was the sixth no-hitter by a Miami Marlins pitcher, and the only no hitter of the year from either league."
2017,"In March 2017, the following Major League Baseball rule changes went into affect, after being ratified by the Major League Baseball Players Association:"
2017,"The start of a no-pitch intentional walk, allowing the defensive team's manager to signal a decision to the home plate umpire to intentionally walk the batter. Following the signal of the manager's intention, the umpire will immediately award first base to the batter."
2017,A 30-second limit for a manager to decide whether to challenge a play and invoke replay review.
2017,"When a manager has exhausted his challenges for the game, Crew Chiefs may now invoke replay review for non-home run calls beginning in the eighth inning instead of the seventh inning."
2017,"A conditional two-minute guideline for Replay Officials to render a decision on replay review, allowing various exceptions."
2017,A prohibition on the use of any markers on the field that could create a tangible reference system for fielders.
2017,"An addition to Rule 5.07 formalizes an umpire interpretation by stipulating that a pitcher may not take a second step toward home plate with either foot or otherwise reset his pivot foot in his delivery of the pitch. If there is at least one runner on base, then such an action will be called as a balk under Rule 6.02(a). If the bases are unoccupied, then it will be considered an illegal pitch under Rule 6.02(b)."
2017,"An amendment to Rule 5.03 requires base coaches to position themselves behind the line of the coach's box closest to home plate and the front line that runs parallel to the foul line prior to each pitch. Once a ball is put in play, a base coach is allowed to leave the coach's box to signal a player so long as the coach does not interfere with the play."
2017,"As a consequence of Hurricane Harvey damaging the Houston area, the interleague match-up between the Texas Rangers and Houston Astros from August 29–31, was moved from Minute Maid Park to Tropicana Field in St. Petersburg, Florida. Although the Astros were the designated home team, they wore their away uniforms during the three-game Lone Star Series, while the Rangers wore their home uniforms."
2017,"""'Twenty years ago, when you talked to National League owners about the DH, you'd think you were talking some sort of heretical comment,' Manfred told reporters Thursday at the owners meetings in Coral Gables, Fla. 'But we have a newer group. There's been turnover. And I think our owners in general have demonstrated a willingness to change the game in ways that we think would be good for the fans, always respecting the history and traditions of the sport.'"" - Botte, Peter. New York Daily News Staff Writer. MLB commissioner Rob Manfred says National League could implement DH by 2017. 21 January 2016."
2017,"The New York Yankees and Chicago Cubs set a new Major League record for most strikeouts in a game with 48 on May 7, 2017, in a game that lasted 18 innings. The previous record of 43 was set on July 9, 1971, in a game between the California Angels and the Oakland Athletics."
2017,"Adrian Beltre (Texas Rangers) joined the 3,000th Hit Club with a double in the fourth inning against the Baltimore Orioles on July 30, 2017."
2017,"Boston Red Sox ace, Chris Sale, became the fastest pitcher to reach 1,500 strikeouts in Major League history. Sale (1,290 innings pitched) struck out Kevin Pillar in the second inning on August 29, 2017, breaking the record previously set by Kerry Wood (1,303 innings pitched)."
2017,"Where what happened yesterday
is being preserved today."
2018,"The year started with some history making news in the National Football League as the Philadelphia Eagles won their first Super Bowl in franchise history, defeating the heavily favored (yet again) New England Patriots, 41-33, in Super Bowl LII, ending a 57-year championship drought."
2018,The Detroit Tigers modified the Olde English D on their home jersey to match the D on the cap. This was the first major change to the Tigers' home jersey since 1934.
2018,"A ""feel good"" story of the year surrounded the return of Atlanta Braves pitcher Jonny Venters. The Tampa Bay Rays stuck with the determined lefty who had Tommy John surgery three times and successfully returned to the mound on April 25, 2018 - the first pitcher to make it back to the majors after three such operations."
2018,"The National League & American League had a combined 7,335 strikeouts and 6,992 hits during the month of April. Never in Major League history had their been a month with more strikeouts than hits, until 2018!"
2018,"All thirty Major League Baseball teams were scheduled to play an Opening Day game on March 29, 2018, the earliest start of a regular season in baseball history."
2018,"Major League Baseball implemented new pace of play rules in 2018, which include limiting the amount of mound visits for each team to six visits per nine innings. Teams will receive an additional visit for every extra inning played."
2018,"Under the new collective bargaining agreement reached in December 2016, the 2018 regular season was extended to 187 days in order to add four additional off-days for all teams."
2018,"""Twenty years ago, when you talked to National League owners about the DH, you'd think you were talking some sort of heretical comment,"" Manfred told reporters Thursday at the owners meetings in Coral Gables, Fla. ""But we have a newer group. There's been turnover. And I think our owners in general have demonstrated a willingness to change the game in ways that we think would be good for the fans, always respecting the history and traditions of the sport."" - New York Daily News Staff Peter Botte (01/21/2016, MLB commissioner Rob Manfred says National League could implement DH by 2017, Source)"
2018,"George Springer (2018 Astros) hit a lead-off home run on Opening Day, March 29, 2018, and became the first player in Major League history to lead off back-to-back seasons (April 3, 2017) with a home run."
2018,"On April 5, 2018, Adrian Beltre became the all-time leader in hits by a player from Latin America. Beltre, from the Dominican Republic, passed Rod Carew of Panama (Canal Zone) with his 3,054th career hit."
2018,"Did you know that Roberto Osuna became the youngest pitcher in Major League history to reach 100 career saves in 2018? Osuna, on April 10, 2018, recorded his 100th save, reaching the plateau a year younger than the previous record holder, Francisco Rodriguez."
2018,"Where what happened yesterday
is being preserved today."
2019,"The 2019 Major League Baseball season began on March 20, 2019, and is the 150th anniversary of professional baseball, dating back to the 1869 foundation of the Cincinnati Reds."
2019,"Four rule changes went into effect in 2019. The time between innings was reduced from 2:05 to 2:00 in local games, and 2:25 to 2:00 in nationally televised games. The August trade deadline was cancelled, leaving just one trade deadline in Major League Baseball, July 31, 2019. The last two were related to the Midsummer Classic, the first is a two-round voting method for fans to select All-Stars, the second will award the winner of the Home Run Derby a $1,000,000 bonus!"
2019,"The regular season began on March 20, 2019, when the Oakland Athletics and Seattle Mariners played a two-game series in Tokyo, Japan, at the Tokyo Dome."
2019,"A London Series was played on June 29-30, 2019, when the Boston Red Sox faced-off against the New York Yankees at London Stadium in London, England, on June 29 and 30 making it the first ever regular season series in London under a two-year commitment."
2019,"Derek Jeter, CEO of the Miami Marlins, unveiled a new logo, team colors, and uniform on November 16, 2018, for the 2019 season. The new design replaced the one used after the team moved to Marlins Park in 2012, and switched from the Florida Marlins to the Miami Marlins."
2019,"Opening Day for all teams took place on March 28, 2019, the earliest Opening Day in baseball history when you exclude international season openers. The previous earliest Opening Day was on March 29, 2018."
2019,"The second annual Mexico Series of regular season games featured four matchups in 2019. The first match-up was the National League St. Louis Cardinals versus the Cincinnati Reds. The two-game series was played at Monterrey, Mexico's Estadio de Béisbol Monterrey, on April 13 and 14, 2019. The second two-game series, also in Monterrey, featured the American League Houston Astros versus the Los Angeles Angels on May 4 and 5, 2019."
2019,"""Twenty years ago, when you talked to National League owners about the DH, you'd think you were talking some sort of heretical comment,"" Manfred told reporters Thursday at the owners meetings in Coral Gables, Fla. ""But we have a newer group. There's been turnover. And I think our owners in general have demonstrated a willingness to change the game in ways that we think would be good for the fans, always respecting the history and traditions of the sport."" - New York Daily News Staff Peter Botte (01/21/2016, MLB commissioner Rob Manfred says National League could implement DH by 2017, Source)"
2019,"Two National League starting pitchers in the same game had 10-or-more strikeouts on Opening Day in 2019; Jacob DeGrom (10 Ks) and Max Scherzer (12 Ks) on March 28, 2019. The last time it happened was on April 7, 1970, when Dave McNally of the Baltimore Orioles had 13 strikeouts and Sam McDowell of the Detroit Tigers had 11 strikeouts."
2019,"Did you know that when Elvis Luciano made his Major League debut with the Toronto Blue Jays on March 31, 2019, he became the first ballplayer born in the 2000s to play in a regular season game?"
2019,"Two American League All-Stars are having their number retired during the regular season: Adrian Beltre, who will have his #29 retired by the Texas Rangers on June 8, 2019, and Joe Mauer, who will have his #7 retired by the Minnesota Twins on June 15, 2019."
2019,"Where what happened yesterday
is being preserved today."
2020,"The 2020 Major League Baseball regular season began on July 23, 2020, and came to a conclusion on September 27, 2020. Shortened by the COVID-19 pandemic each team played sixty regular season games."
2020,"On March 26, 2020, MLB and the Major League Baseball Players Association (MLBPA) reached an agreement on multiple considerations related to the start of the season being delayed, including pro-rated player salaries, based on the 60-game format, however, players did receive full service time for the shortened season."
2020,"For 2020, Team Marketing Report calculated five billion dollars in game day losses for Major League Baseball as a result of not having fans in any ballparks for any regular season games."
2020,"On July 18, 2020, the Canadian government denied permission for the Toronto Blue Jays to play their home games at Rogers Centre stating that repeated cross-border trips by both the Blue Jays and their opponents would be a major risk due to the higher spikes in COVID-19 cases in the U.S. compared to those in Canada. The Blue Jays then chose to play their home games at Sahlen Field in Buffalo, home of their Triple-A affiliate Buffalo Bisons"
2020,"On August 16, 2020, the Chicago White Sox hit four consecutive home runs, tying the Major League record. The history making quartet was Yoan Moncada, Yasmani Grandal, José Abreu and Eloy Jiménez. All four home runs were hit off Roel Ramírez, during his big league debut."
2020,"When the Houston Astros made it to the postseason in 2020, Dusty Baker became the first manager in Major League history to lead five different teams to the playoffs!"
2020,"The designated hitter was used in both the American and National Leagues, not just during interleague games, but in every single game played by every National League team in 2020."
2020,The 2020 Los Angeles Dodgers set the National League record for most home runs in a month by a team after hitting their 57th long ball during August against the Texas Rangers on August 30.
2020,"The first team in Major League history to hit at least one grand slam in four consecutive games was the San Diego Padres, who made baseball history on August 17, 18, 19, and 20! All of the record setting grand slams were hit against the Texas Rangers!"
2020,"On July 30, 2020, effective on August 1, all doubleheaders were scheduled as two seven-inning games. One standard doubleheader, which was played on July 28 before the rule change, had already occurred, but due to the number of cancelled games, and doubleheaders needed for each team to reach sixty games played, the length of the doubleheaders was adjusted during the season."
2020,"""It's pretty cool (winning the 2020 American League batting title). I don't think it's really sank in yet. I wish it was over 162 games, and I wish there were fans in the stands, but it is what it is and I'm definitely proud of it."" - DJ LeMahieu"
2020,"Did you know that when Mookie Betts had his three-homer game against the San Diego Padres on August 13, 2020, Betts tied the Major League record for most career three-homer games at six (five with the Red Sox / one with the Dodgers)? Mookie joined Sammy Sosa and Johnny Mize as the only other players to accomplish this feat!"
2020,"On August 25, 2020, Lucas Giolito struck out thirteen hitters and walked one, throwing 74 of his 101 pitches for strikes, and completing the only American League no-hitter of the season."
2020,"When Alex Kirilloff made his Major League debut on September 30, 2020, it was during the Wild Card Series. This marks the first time a pitcher has made his debut by starting a postseason game."
2020,"Where what happened yesterday
is being preserved today."
2021,"On February 9, 2021, Major League Baseball announced that the following two temporary rule changes from the 2020 season would continue in 2021: Doubleheaders would be played as two seven-inning games, and, a runner will be placed on second base at the start of every half-inning of a game that goes into extra innings."
2021,"The 2021 season was the last where Cleveland's team competed as the Indians, replacing their 106-year-old team name. On December 14, 2020, the franchise announced they would unveil a new moniker, uniform, and stadium changes before the 2022 season."
2021,"On August 12, 2021, the MLB at Field of Dreams game, which was originally scheduled for 2020, but cancelled due to the COVID-19 pandemic, featured a matchup between the New York Yankees and the Chicago White Sox at a purpose-built ballpark in Dyersville, Iowa."
2021,"Miller Park, home of the Milwaukee Brewers, was renamed American Family Field after Madison, Wisconsin-based American Family Insurance outbid the Miller Brewing Company for the ballpark's naming rights renewal contract. Miller's 20-year contract expired at the end of the 2020 season."
2021,"The Atlanta Braves celebrated their 150th Anniversary Season in 2021, wearing special patches during the regular season, as well as In Memoriam patches for Hank Aaron and Phil Niekro. In July 2020, the franchise announced they had no plans to change their controversial moniker, telling fans, ""We will always be the Atlanta Braves."""
2021,"New York Mets president Sandy Alderson said in a 2021 conference call, ""Having a DH in the National League is a good thing. The fact is, pitchers can’t even bunt anymore. So I'm in favor of putting a hitter in that additional slot. Ultimately it makes the game more exciting. More offense, or more opportunity for offense, a bigger challenge for the pitchers. I just think for the overall quality of the game, the excitement level of the DH is the right thing in the National League."""
2021,"ESPN Radio aired its 24th season of Major League Baseball in 2021, including Sunday Night Baseball Saturday Games, Opening Day games, and the entire postseason."
2021,"For the first time in sixty years, the National Baseball Hall of Fame did not induct a new group of electees in 2021. The Class of 2020s induction ceremony was cancelled due to the coronavirus pandemic, so there is a possible event in Cooperstown in 2021."
2021,"""I think it's (expanding the postseason) good for baseball because it creates competitiveness. The fans know that if there's eight playoff spots in each league, you're going to have eleven or twelve teams competing for those spots. You know in some form you're going to be in it. So the more things we can do to create competition, I think that helps."" - Boras, Scott. USA Today: MLB rule changes: League still discussing universal DH and expanded playoffs for 2021 season. 15 January 2021."
2021,"On April 4, 2021, Akil Baddoo became the thirty-first player in baseball history to hit a home run on the first pitch ever thrown to him during a regular season game. Do you remember who the pitcher was that day? [Answer]"
2021,"Did you know four no-hitters were thrown in the American League in 2021? Carlos Rodón (April 14, 2021), John Means (May 5, 2021), Spencer Turnbull (May 18, 2021), and Corey Kluber (May 19, 2021)."
2021,"The 2021 New York Yankees tied the Major League record for most triple plays turned in a season when they turned their third triple play of the season on June 20, 2021. The last team to turn three triple plays in a season was the 2016 Chicago White Sox."
2021,"Where what happened yesterday
is being preserved today."
2022,"The 2022 Winter Olympics were held in Beijing, China, making it the first city ever to host both the Summer Olympics and Winter Olympics."
2022,"The FIFA World Cup is rescheduled for November 21 through December 18, 2022, in Qatar, to avoid both the summer heat between May and September and taking place at the same time as the 2022 Winter Olympics."
2022,The United Nations declared 2022 as the International Year of Artisanal Fisheries and Aquaculture and the International Year of Glass.
2022,"The 2022 Cleveland Guardians, who existed previously as the Cleveland Indians, begin their one-hundred twenty-second season as a franchise — their first as the Cleveland Guardians. In 2021, the franchise changed due to the Cleveland Indians name and logo controversy. The Guardians opened at home April 7, 2022, against the Kansas City Royals."
2022,"Oriole Park at Camden Yards, home of the Baltimore Orioles, was completed in 1992 to replace Memorial Stadium. During the 2022 season, the franchise is celebrating its 30th anniversary in several promotions during the regular season."
2022,"The Houston Astros turn sixty in 2022, and will ""look-back"" at their sixty years of franchise history during the season, including a patch to commemorate their 60th anniversary."
2022,"The MLB at Field of Dreams game is planned to return for a second year, featuring the Chicago Cubs and the Cincinnati Reds at the purpose built ballpark in Dyersville, Iowa on August 11."
2022,"The New York Mets, San Diego Padres, and St. Louis Cardinals began the year with a new skipper at the helm. Buck Showalter, Bob Melvin, and Oliver Marmol respectively take over each storied franchise as manager."
2022,"On December 2, 2021, the Commissioner of Baseball, Rob Manfred, announced there was a lockout. The collective bargaining agreement (CBA) between Major League Baseball and the Major League Baseball Players Association (MLBPA) expired, the two sides were unable to come to an agreement, and the lockout began. Nearly three months later, Spring Training resumed."
2022,"The annual Major League Baseball Little League Classic is scheduled to feature the Boston Red Sox and the Baltimore Orioles at Bowman Field in Williamsport, Pennsylvania on August 21, 2022."
2022,"""I'm going to be open-minded and evaluate all opportunities. We just want to make sure we put the best team out there (in 2022), so no guarantees right now for anybody."" - Cashman, Brian. New York Yankees General Manager. Press Conference. 9 November 2021."
2022,"Major League Baseball and the Major League Baseball Players Association announced via Press Release (excerpts below) SEVERAL rule changes that will be in place during the 2022 baseball season, including:"
2022,"Designated Hitter: Beginning in 2022, the designated hitter will be in place in both the American and National Leagues. In an effort to afford additional flexibility to starting pitchers who bat for themselves, such players will be considered two separate people for the purposes of Rule 5.11(a). If the player is replaced as a starting pitcher, he can continue as the designated hitter, and if the designated hitter is replaced, he can continue as the starting pitcher."
2022,"Extra Innings Rule: In an effort to preserve player health and safety during the condensed schedule, the rule that each extra inning begins with a runner on second base has been restored for the 2022 season."
2022,"Active Roster Limits: From Opening Day through May 1st, the 26-player active Major League roster shall increase to 28 (including 29 players for any doubleheaders), and the limitation on the number of pitchers (13) on the active roster and the restriction on position players appearing as pitchers during a game shall not apply. On May 2nd, 26-man rosters, the limit on number of pitchers on the active roster, and the restriction of position players appearing as pitchers will resume."
2022,"Replay Announcements: For the first time, Major League umpires will conduct in-park announcements during the replay review process during the 2022 season, enhancing the ballpark and broadcast experiences. Training was conducted in Arizona and Florida this spring."
2022,"PitchCom Arrives: Starting in 2022, PitchCom will be available for Major League teams to utilize during games. The communication device will be available for up to five defensive players to use at a given time (including the pitcher and catcher). The catcher uses a transmitter to send signs to the pitcher, who wears a receiver in the band of his cap. Transmissions are encrypted, and Clubs are free to customize the audio as well as the configuration of the transmitter. The new form of communication was tested throughout Spring Training and received a significant amount of positive feedback from players."
2022,"The 2022 regular season features 31 scheduled doubleheaders, including 26 split doubleheaders and five of the traditional variety. All games part of doubleheaders in 2022 are scheduled as nine-inning games, following the implementation of seven-inning doubleheaders as part of health and safety protocols in 2020 and 2021."
2022,"Did you know that the number of teams eligible for the postseason increased from 10 to 12 in 2022? Under the new format: The number 1 and number 2 seeds (division winners with the two best records) in each League will receive a bye during the Wild Card Round. The Wild Card Round will feature the number 3 seed (division winner with the third-best record) against the number 6 seed (third Wild Card Club) and the number 4 seed (first Wild Card Club) against the number 5 seed (second Wild Card Club) in each League. The Wild Card Round will be a best-of-three series with all games played at the site of the number 3 and 4 seeds, respectively. The Division Series will remain a 2-2-1 format with the number 1 seed facing the winner of the 4/5 Wild Card matchup, while the number 2 seed faces the winner of the 3/6 Wild Card matchup."
2022,"Where what happened yesterday
is being preserved today."
2023,"The World Baseball Classic was postponed due to the COVID-19 pandemic in 2021, but the latest Collective Bargaining Agreement indicated the officially sanctioned international baseball tournament would return in 2023, and did it ever. Twenty teams competed, major league baseball stars were encouraged to participate, record numbers of fans witnessed games, and in the end, Japan defeated the United States 3–2."
2023,"Queen Elizabeth II passed away on September 8, 2022. Subsequently, on May 6, 2023, the Coronation of King Charles III and Queen Camilla took place at Westminster Abbey in London, England."
2023,"The Minnesota Twins unveiled new logos and uniforms for the 2023 season. The updated Twins script, and uniform numbers, had no shadows or outlines on the home whites or away navy blues, which will serve as an alternate home uniform as well. They wore white pants at home and gray pinstripes on the road."
2023,"Management changes in the junior circuit included two General Manager changes; Scott Harris took over with the Detroit Tigers, and Justin Hollander is the new Seattle Mariners GM. In the dugout, Phil Nevin is no longer an interim skipper, and now has the helm with the Los Angeles Angels, John Schneider replaced Charlie Montoya as manager of the Toronto Blue Jays, Bruce Bochy replaced Chris Woodward with the Texas Rangers, and Pedro Grifol replaced the retiring hall of famer, Tony La Russa, with the Chicago White Sox."
2023,"The ""MLB World Tour"" continued in 2023, and this time it included the San Francisco Giants and San Diego Padres playing a two-game series at Alfredo Harp Helú Stadium in Mexico City, Mexico, on April 29-30, 2023. And the St. Louis Cardinals and Chicago Cubs played a two-game series at London Stadium in London, England, on June 24-25, 2023."
2023,"Management changes in the senior circuit included Pete Putila taking over as General Manager of the San Francisco Giants. In the dugout, Rob Thomson is no longer an interim skipper, and now has the Philadelphia Phillies Manager title, and Skip Schumaker took over for Don Mattingly with the Miami Marlins."
2023,"On November 14, 2022, the Arizona Diamondbacks revealed a new anniversary logo, which was worn as a patch on their jerseys in 2023. The commemorative patch is marking the 25th anniversary of the franchise."
2023,"The MLB at Field of Dreams game was not played in 2023, due to the construction of a new youth baseball and softball complex at the Field of Dreams site in Dyersville, Iowa."
2023,"Three major rule changes took place in 2023; a pitch clock was introduced, infield shifts were severely restricted, and all three bases increased in size from 15 to 18 inches."
2023,"Major League Baseball and the Major League Baseball Players Association announced via Press Release (excerpts below) SEVERAL rule changes that will be in place during the 2023 baseball season, including:"
2023,"Pitch Clock Implementation: A standardized period of 30 seconds between batters within each half-inning. A timer between pitches of 15 seconds with the bases empty, and 20 seconds with at least one runner on base. The pitcher must start his motion before the expiration of the pitch timer. A violation will result in an automatic ball. The batter must be in the box and alert to the pitcher with no less than eight seconds remaining. A violation will result in an automatic strike. With runners on base, the timer resets if the pitcher attempts a pickoff or steps off the rubber (collectively called a ""disengagement""). Only two disengagements are allowed per plate appearance; however, this count resets if a baserunner advances. Mound visits, injury timeouts, and offensive team timeouts do not count against this. On a third disengagement, an unsuccessful pickoff attempt will cause that runner to advance one base. If a team has used up all of its allowed five mound visits by the ninth inning, it receives an extra visit in the ninth. Umpires can provide extra time if circumstances warrant."
2023,"Infield Shift Restrictions: The defensive team must have no fewer than four players in infield positions, with at least two on each side of second base. All infielders must have both feet on or inside the outer edge of the marked infield while the pitcher is on the rubber. Infielders cannot switch sides of the infield before a pitch is released. If infielders are improperly aligned at the time of the pitch, the offensive team may choose to accept the result of the play, or receive an automatic ball."
2023,"A new balanced schedule was introduced in 2023, where every team will play every other team at least once during the regular season. It also includes 13 games against division rivals and 52 games overall against division opponents. Each team will play six games against six opponents, and seven games against four opponents in the same league, for a total of 64 games, as well as 46 interleague games."
2023,"Did you know that the number of teams eligible for the postseason increased from 10 to 12 in 2022 — giving us more participating postseason teams in 2023? Under the new format: The number 1 and number 2 seeds (division winners with the two best records) in each League will receive a bye during the Wild Card Round. The Wild Card Round will feature the number 3 seed (division winner with the third-best record) against the number 6 seed (third Wild Card Club) and the number 4 seed (first Wild Card Club) against the number 5 seed (second Wild Card Club) in each League. The Wild Card Round will be a best-of-three series with all games played at the site of the number 3 and 4 seeds, respectively. The Division Series will remain a 2-2-1 format with the number 1 seed facing the winner of the 4/5 Wild Card matchup, while the number 2 seed faces the winner of the 3/6 Wild Card matchup."
2023,"Where what happened yesterday
is being preserved today."
2024,"A new initiative, set forth by Major League Baseball, called MLB Spring Breakout will make its debut in 2024. Each franchise will put together a team of their best prospects to compete against other organization's prospects during a series of games, scheduled from March 14 to March 17, 2024."
2024,"Two former New York Mets players, Dwight Gooden and Darryl Strawberry, will each have their numbers retired. Doc will have his number (16) retired by the Mets on April 14, 2024, and The Straw Man will have his number (18) retired by the Mets on June 1, 2024."
2024,"Major League Baseball owners unanimously approved (November 16, 2024) the franchise request to relocate the Oakland Athletics, to Las Vegas, Nevada, in 2028."
2024,"The Boston Red Sox and Tampa Bay Rays played a spring training two-game series at Estadio Quisqueya, on March 9–10, 2024, the first Major League Baseball games ever played in the Dominican Republic."
2024,"Management changes in the junior circuit included three General Manager changes; Rick Hahn was fired by the Chicago White Sox, and replaced with Chris Getz; Brian O'Halloran was reassigned by the Boston Red Sox, and replaced with Craig Breslow; Peter Bendix, the Tampa Bay Rays GM, was hired by the Miami Marlins. In the dugout, the Angels did not pick up their option on Phil Nevin, and replaced him with Ron Washington; Terry Francona was reassigned by the Guardians, and Stephen Vogt was his replacement; and future hall of famer, Dusty Baker, retired as skipper of the Astros, Joe Espada took over at the helm."
2024,"The New York Mets and Philadelphia Phillies are scheduled to participate in the MLB World Tour, playing a two-game series in London, England, on June 8–9, 2024, in London Stadium."
